date,pressure(hPa),temp_detector_nc1(C) ,rh(%),temp_sensor(C),k96_lpl_raw,k96_spl_raw,k96_mpl_raw,k96_ch4(ppm) ,k96_h2o(ppm) ,ref_h2o(ppm),ref_ch4(ppm),ref_co2(ppm)
6/21/2022 15:51,1008.8,43.94,17.318,43.731,439299.514,747575.724,267149.105,130.2163633,22236.86836,22519.672,3.37,436.426
6/21/2022 15:52,1008.79,43.94,17.362,43.734,439303.638,747580.324,267252.143,130.0143308,22172.17103,22030,4.105,441.217
6/21/2022 15:53,1008.7,43.947,17.243,43.74,439294.419,747643.848,267530.943,130.4659966,21997.5709,21826.667,5.352,442.217
6/21/2022 15:54,1008.7,43.95,17.172,43.74,439254.79,747636.781,267653.829,132.408859,21920.82508,21725,7.127,453.867
6/21/2022 15:55,1008.7,43.95,17.144,43.74,439257.2,747635.924,267703.781,132.2906444,21889.66575,21700,8.172,456.82
6/21/2022 15:56,1008.753,43.95,17.203,43.74,439210.4,747573.638,267558.914,134.5876818,21980.0908,21883.333,8.408,457.55
6/21/2022 15:57,1008.822,43.941,17.248,43.735,439200.438,747489.419,267461.305,135.0770227,22041.11947,21881.667,9.233,458.8
6/21/2022 15:58,1008.767,43.94,17.404,43.733,439208.514,747470.943,267161.733,134.6803132,22228.93436,22196.721,7.412,447.738
6/21/2022 15:59,1008.611,43.94,17.236,43.73,439235.524,747430.924,267652.724,133.354174,21921.51461,21721.667,6.989,445.65
6/21/2022 16:00,1008.5,43.94,17.275,43.73,439183.095,747468.8,267418.419,135.9292472,22067.95926,21986.667,8.095,475.45
6/21/2022 16:01,1008.5,43.94,17.392,43.73,439133.59,747436,267086.924,138.364152,22275.95584,21896.721,7.941,469.328
6/21/2022 16:02,1008.585,43.94,17.469,43.734,439126.686,747463.705,266954.248,138.7039913,22359.46823,22091.667,7.972,476.533
6/21/2022 16:03,1008.732,43.94,17.428,43.73,439204.429,747418.619,267187,134.8809656,22213.06356,21985,6.721,453.933
6/21/2022 16:04,1008.8,43.94,17.396,43.73,439213.352,747401.067,267282.924,134.4427034,22152.86142,21983.607,7.17,459.475
6/21/2022 16:05,1008.8,43.94,17.387,43.73,439211.781,747365.543,267294.876,134.5198568,22145.36586,21991.667,7.946,463.517
6/21/2022 16:06,1008.8,43.94,17.442,43.73,439176.676,747353.276,267165.61,136.2447771,22226.49876,22110,9.214,464.333
6/21/2022 16:07,1008.832,43.94,17.372,43.73,439230.99,747381.638,267383.286,133.5767151,22089.9587,21916.393,6.609,448.213
6/21/2022 16:08,1008.9,43.94,17.288,43.73,439267.895,747439.457,267542.152,131.7661323,21990.56518,21830,5.694,441.533
6/21/2022 16:09,1008.9,43.94,17.192,43.736,439284.467,747477.467,267751.638,130.9537045,21859.83338,21676.667,5.062,436.583
6/21/2022 16:10,1008.893,43.943,17.157,43.74,439290.476,747538.21,267725.79,130.6592111,21875.94367,21791.803,5.155,437
6/21/2022 16:11,1008.8,43.946,17.204,43.74,439284.486,747451.162,267628.21,130.9527732,21936.81417,21860,4.842,435.517
6/21/2022 16:12,1008.8,43.94,17.257,43.738,439271.171,747482.143,267532.038,131.6054995,21996.88647,21931.667,5.878,444.033
6/21/2022 16:13,1008.8,43.94,17.246,43.74,439269.657,747494.581,267587.086,131.679734,21962.49188,21827.869,5.681,442.066
6/21/2022 16:14,1008.8,43.94,17.156,43.74,439296.152,747493.914,267807.905,130.381083,21824.78371,21705,4.967,437.283
6/21/2022 16:15,1008.8,43.944,17.115,43.74,439311.286,747526.457,267860.076,129.6397209,21792.30983,21698.333,4.301,432.65
6/21/2022 16:16,1008.8,43.95,17.084,43.74,439319.905,747552.286,267912.629,129.2176458,21759.62184,21693.443,4.305,432.18
6/21/2022 16:17,1008.8,43.95,17.091,43.74,439318.905,747528.99,267855.4,129.2666109,21795.21945,21748.333,4.156,431.35
6/21/2022 16:18,1008.7,43.95,17.182,43.74,439314.771,747538.667,267664.305,129.4690472,21914.28853,21875,4.011,429.833
6/21/2022 16:19,1008.7,43.95,17.24,43.74,439302.238,747521.762,267533.781,130.0829134,21995.79703,22000,4.226,431.213
6/21/2022 16:20,1008.7,43.943,17.385,43.74,439283.514,747461.352,267232.657,131.0004143,22184.39925,22235,4.519,432.817
6/21/2022 16:21,1008.7,43.94,17.56,43.74,439267.429,747487.695,266878.962,131.788983,22406.92403,22508.333,4.603,432.75
6/21/2022 16:22,1008.7,43.946,17.679,43.74,439251.238,747498.79,266697.076,132.5831051,22521.77525,22554.098,4.694,433.131
6/21/2022 16:23,1008.7,43.95,17.752,43.74,439235.476,747501.61,266559.571,133.3565298,22608.79109,22620,4.466,431.7
6/21/2022 16:24,1008.7,43.95,17.801,43.74,439228.895,747531.305,266462.371,133.6795529,22670.39925,22733.333,4.444,431.383
6/21/2022 16:25,1008.7,43.95,17.946,43.74,439207.286,747539.2,266167.962,134.7406293,22857.4999,22937.705,5.629,437.967
6/21/2022 16:26,1008.7,43.95,17.978,43.74,439182.086,747506.171,266179.819,135.9788415,22849.95022,22773.333,6.659,443.733
6/21/2022 16:27,1008.682,43.95,17.952,43.74,439167.61,747524.705,266252.562,136.6905177,22803.6592,22720,7.853,447.733
6/21/2022 16:28,1008.6,43.95,17.978,43.74,439167.533,747495.657,266196.676,136.694304,22839.21899,22845.902,6.956,441.902
6/21/2022 16:29,1008.6,43.95,18.1,43.74,439170.581,747546.524,265926.505,136.5444326,23011.50526,23041.667,6.907,441.583
6/21/2022 16:30,1008.6,43.95,18.173,43.74,439158.562,747500.61,265816.219,137.1354852,23082.01434,23050,7.461,442.55
6/21/2022 16:31,1008.6,43.95,18.136,43.74,439170.971,747507.029,265936.238,136.525257,23005.28769,22875.41,6.671,438.607
6/21/2022 16:32,1008.6,43.95,18.062,43.74,439194.762,747505.181,266125.152,135.3558927,22884.76828,22751.667,6.111,435.383
6/21/2022 16:33,1008.6,43.95,18.112,43.74,439183.171,747475.048,265981.114,135.9255117,22976.63084,22948.333,6.975,439.717
6/21/2022 16:34,1008.568,43.95,18.192,43.74,439159.771,747468.648,265826.838,137.0760219,23075.22075,23059.016,6.86,439.066
6/21/2022 16:35,1008.5,43.95,18.133,43.74,439167.524,747530.343,266009.552,136.6947465,22958.47991,22765,6.282,436.05
6/21/2022 16:36,1008.5,43.95,17.986,43.742,439189.038,747558.067,266320.4,135.6371655,22760.53056,22625,6.664,437.8
6/21/2022 16:37,1008.5,43.95,17.941,43.74,439198.01,747560.876,266378.848,135.1963084,22723.40344,22600,6.179,435.197
6/21/2022 16:38,1008.415,43.95,18.086,43.741,439195.419,747551.676,266009.514,135.3236111,22958.50416,23000,5.909,433.933
6/21/2022 16:39,1008.4,43.95,18.042,43.74,439199.714,747470.686,266183.4,135.1125914,22847.67034,22696.667,5.967,434.267
6/21/2022 16:40,1008.4,43.95,18.036,43.74,439191.419,747459.648,266190.114,135.5201596,22843.39609,22722.951,6.034,434.754
6/21/2022 16:41,1008.4,43.945,18.169,43.74,439170.476,747403.238,265851.076,136.5495953,23059.71793,23113.333,5.865,439.433
6/21/2022 16:42,1008.4,43.946,18.334,43.74,439161.676,747416.333,265546.429,136.9823306,23254.93994,23275,6.134,440.317
6/21/2022 16:43,1008.4,43.95,18.36,43.74,439157.2,747482.048,265566.19,137.2024761,23242.25261,23090,6.114,438.6
6/21/2022 16:44,1008.4,43.95,18.28,43.746,439170.676,747550.743,265757.914,136.5397616,23119.33271,22927.869,6.11,438.393
6/21/2022 16:45,1008.367,43.95,18.329,43.75,439174.857,747629.505,265589.829,136.3342013,23227.07987,23266.667,5.915,436.817
6/21/2022 16:46,1008.3,43.95,18.431,43.748,439151.562,747554.876,265424.771,137.4798118,23333.12308,23181.667,6.152,437.083
6/21/2022 16:47,1008.3,43.95,18.323,43.74,439169.038,747470.486,265719.99,136.6203009,23143.62182,22893.443,5.503,433.852
6/21/2022 16:48,1008.3,43.947,18.265,43.74,439163.019,747394.181,265822.419,136.9162824,23078.04772,22880,6.291,437.75
6/21/2022 16:49,1008.3,43.94,18.169,43.737,439182.419,747339.19,266053.81,135.9624737,22930.24549,22631.667,5.304,432.25
6/21/2022 16:50,1008.385,43.94,18.104,43.732,439196.61,747300.857,266154.771,135.265093,22865.9004,22627.869,6.088,436.23
6/21/2022 16:51,1008.4,43.94,18.091,43.73,439180.695,747242.981,266182.619,136.0472141,22848.16756,22610,6.487,437.767
6/21/2022 16:52,1008.4,43.94,18.217,43.73,439184.667,747267.248,265841.838,135.8519831,23065.62603,23105,5.637,434.067
6/21/2022 16:53,1008.4,43.94,18.413,43.73,439159.248,747253.886,265459.962,137.1017448,23310.49461,23275.41,6.798,439.77
6/21/2022 16:54,1008.492,43.94,18.523,43.733,439143.933,747260.552,265288.324,137.8551547,23420.96177,23311.667,7.194,441.533
6/21/2022 16:55,1008.5,43.94,18.567,43.739,439135.124,747316.61,265235.352,138.2886519,23455.106,23315,7.396,442.85
6/21/2022 16:56,1008.5,43.94,18.596,43.74,439120.848,747391.762,265164.381,138.9914092,23500.88969,23439.344,7.489,442.82
6/21/2022 16:57,1008.5,43.94,18.606,43.74,439125.924,747414.724,265161.933,138.7415037,23502.46968,23300,7.004,440.383
6/21/2022 16:58,1008.5,43.948,18.532,43.74,439141.295,747421.181,265352.438,137.9849615,23379.668,23170,7.019,440.133
6/21/2022 16:59,1008.5,43.948,18.475,43.74,439137.952,747415.438,265457.114,138.1494725,23312.32553,23129.508,7.527,442.672
6/21/2022 17:00,1008.5,43.94,18.473,43.74,439128.819,747426.438,265454.095,138.5989906,23314.26646,23078.333,7.62,443.033
6/21/2022 17:01,1008.5,43.94,18.468,43.738,439118.514,747387.99,265469.257,139.1063302,23304.51953,23095,7.858,444.1
6/21/2022 17:02,1008.5,43.94,18.554,43.731,439122.467,747281.781,265289.971,138.9116975,23419.90055,23263.934,7.188,441.361
6/21/2022 17:03,1008.5,43.94,18.506,43.738,439115.819,747318.933,265422.562,139.2390354,23334.54387,23070,7.644,443.733
6/21/2022 17:04,1008.5,43.94,18.468,43.74,439126.343,747418.99,265477.59,138.7208767,23299.16348,23073.333,7.515,443.467
6/21/2022 17:05,1008.5,43.942,18.45,43.74,439129.667,747450.352,265511.943,138.557248,23277.08934,23040.984,7.471,443.656
6/21/2022 17:06,1008.5,43.95,18.424,43.74,439120.743,747485.581,265533.771,138.996579,23263.06863,23006.667,7.795,445.717
6/21/2022 17:07,1008.5,43.95,18.348,43.749,439147.143,747504.181,265713.571,137.6972147,23147.73421,22826.667,6.974,441.833
6/21/2022 17:08,1008.5,43.95,18.144,43.741,439177.676,747511.114,266159.762,136.1956177,22862.72178,22486.885,6.91,441.787
6/21/2022 17:09,1008.5,43.947,18.089,43.74,439164.029,747420.362,266208.81,136.8666127,22831.49594,22575,7.704,446.167
6/21/2022 17:10,1008.5,43.94,18.099,43.733,439179.743,747331.01,266186.257,136.0940098,22845.85148,22608.333,6.932,442.3
6/21/2022 17:11,1008.5,43.94,18.167,43.731,439174.6,747281.857,266016.59,136.3468361,22953.98889,22740.984,6.894,443.393
6/21/2022 17:12,1008.5,43.94,18.25,43.735,439160.962,747338.314,265835.057,137.0174458,23069.96324,22891.667,6.611,442.817
6/21/2022 17:13,1008.5,43.94,18.272,43.74,439174.657,747425.352,265808.181,136.3440339,23087.15736,22883.333,6.66,443.633
6/21/2022 17:14,1008.5,43.949,18.322,43.74,439149.962,747474.667,265668.429,137.5585244,23176.66484,22973.77,7.034,445.607
6/21/2022 17:15,1008.5,43.95,18.424,43.746,439131.724,747532.505,265445.219,138.4559967,23319.97334,23070,7.105,446.117
6/21/2022 17:16,1008.5,43.95,18.433,43.74,439122.114,747508.619,265486.99,138.9290772,23293.12233,23050,7.833,449.6
6/21/2022 17:17,1008.5,43.95,18.398,43.74,439118.933,747444.181,265584.733,139.085699,23230.35034,22955.738,8.427,452.984
6/21/2022 17:18,1008.5,43.944,18.377,43.74,439123.781,747359.343,265629,138.8470052,23201.94845,22938.333,8.293,456.783
6/21/2022 17:19,1008.5,43.94,18.358,43.74,439133.4,747334.514,265703.2,138.3735036,23154.37923,22895,8.112,454.883
6/21/2022 17:20,1008.5,43.94,18.331,43.731,439127.829,747300.943,265756.6,138.6477243,23120.17408,22845.902,8.107,455.033
6/21/2022 17:21,1008.5,43.94,18.306,43.73,439110,747280.724,265799.362,139.5256041,23092.80073,22728.333,8.222,456.383
6/21/2022 17:22,1008.423,43.94,18.26,43.731,439112.133,747248.638,265893.41,139.4205547,23032.65288,22671.667,8.348,457.7
6/21/2022 17:23,1008.4,43.94,18.177,43.739,439138.248,747287.343,266060.552,138.1349055,22925.9459,22561.667,7.379,452.183
6/21/2022 17:24,1008.328,43.94,18.102,43.74,439182.429,747312.2,266187.295,135.9619822,22845.19067,22539.344,5.695,441.377
6/21/2022 17:25,1008.3,43.945,18.095,43.742,439180.4,747433.048,266167.257,136.0617147,22857.94883,22593.333,6.554,447.283
6/21/2022 17:26,1008.209,43.95,18.078,43.75,439202.248,747597.41,266194.324,134.9881041,22840.71613,22578.333,5.595,441.4
6/21/2022 17:27,1008.2,43.95,18.065,43.75,439212.371,747637.438,266197.771,134.4908809,22838.52199,22601.639,5.452,441.41
6/21/2022 17:28,1008.2,43.95,18.063,43.75,439196.838,747601.743,266192.829,135.2538908,22841.66779,22591.667,6.176,446.817
6/21/2022 17:29,1008.2,43.95,18.061,43.743,439175.52,747557.059,266195.078,136.3016069,22840.23617,22593.333,6.54,451.533
6/21/2022 17:30,1008.2,43.95,18.061,43.74,439176.038,747460.762,266206.914,136.2761414,22832.70262,22534.426,6.598,452.049
6/21/2022 17:31,1008.2,43.943,18.044,43.74,439174.171,747404.2,266262.638,136.3679271,22797.25079,22506.667,6.864,454.95
6/21/2022 17:32,1008.275,43.94,18.009,43.74,439186.448,747397.048,266340.124,135.7644508,22747.99827,22436.667,6.188,450.3
6/21/2022 17:33,1008.3,43.95,17.971,43.744,439197.952,747524.029,266402.362,135.199158,22708.47525,22408.197,6.026,449.836
6/21/2022 17:34,1008.3,43.95,17.922,43.75,439198.562,747596.762,266483.448,135.1691884,22657.03314,22355,6.518,456.3
6/21/2022 17:35,1008.3,43.952,17.9,43.75,439189.267,747709.286,266490.267,135.6259118,22652.70965,22358.333,6.57,456.533
6/21/2022 17:36,1008.247,43.96,17.881,43.75,439169.438,747683.762,266495.733,136.6006329,22649.2443,22336.066,7.21,464.262
6/21/2022 17:37,1008.2,43.958,17.792,43.75,439211.419,747667.99,266726.029,134.5376354,22503.47394,22190,5.866,452.167
